Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MPG,PPG,RPG,APG,WS,WS/48,BPM,VORP,Draft
39,LAL,Harvey Knuckles,Toledo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1981
40,NYK,Greg Cook,LSU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1981
41,WAS,Claude Gregory,Wisconsin,2.0,25.0,315.0,136.0,97.0,16.0,0.456,0.0,0.33299999999999996,12.6,5.4,3.9,0.6,0.0,0.006999999999999999,-4.0,-0.2,1981
42,LAL,Elvis Rolle,Florida State,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1981
43,DAL,Elston Turner,Ole Miss,8.0,505.0,9006.0,2397.0,1375.0,914.0,0.43200000000000005,0.152,0.7140000000000001,17.8,4.7,2.7,1.8,8.5,0.045,-2.0,0.0,1981
44,WAS,Steve Lingenfelter,South Dakota State,2.0,10.0,67.0,10.0,16.0,5.0,0.7140000000000001,0.0,0.0,6.7,1.0,1.6,0.5,0.0,0.009000000000000001,-4.4,-0.1,1981
45,HOU,Ed Turner,Texas A&M University-Kingsville,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1981
46,PHI,Vernon Smith,Texas A&M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1981
47,DAL,Art Housey,Kansas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1981
48,WAS,Mike Ferrara,Colgate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1981
49,BKN,David Burns,Saint Louis,1.0,9.0,87.0,23.0,5.0,15.0,0.43799999999999994,0.0,0.6,9.7,2.6,0.6,1.7,-0.1,-0.071,-5.0,-0.1,1981
50,POR,Derek Holcomb,Illinois,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1981
51,LAL,Zam Fredrick,South Carolina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1981
